,central_pressure,central_density,radius,total_mass
52,68299.28285021294,95120809.6760528,0.0038783192859002474,3.499781458083156e-06
53,84173.1712944665,107844886.130225,0.003798195487633543,3.723694740677143e-06
54,103736.4152315613,122273226.96743989,0.003719601914468441,3.9616723228526775e-06
55,127846.4821938155,138634019.75109273,0.0036425100378261856,4.214617711025047e-06
56,157560.12941886106,157185304.62880647,0.0035668767166477677,4.483396759001765e-06
57,194179.72208928844,178223437.1793987,0.003492681258408851,4.768934424943192e-06
58,239310.3167009694,202081343.02084473,0.0034199327126110727,5.07228615735325e-06
59,294930.0115548847,229137345.75891775,0.003348518395792678,5.3944049634882474e-06
60,363476.64787245716,259821842.2403534,0.003278482225388867,5.7364349545256265e-06
61,447954.661691025,294622209.55286527,0.0032097947004629487,6.099530743786478e-06
62,552066.769915663,334093409.14962435,0.0031423987873028334,6.484855424011959e-06
63,680376.2623980313,378864029.3455073,0.003076273093808315,6.89365410569988e-06
64,838507.0133915703,429648594.2959684,0.0030113863508296713,7.3272877708436885e-06
65,1033389.9789930203,487257318.04812217,0.0029477439901441933,7.787047878607908e-06
66,1273566.984686037,552611914.481032,0.002885270109709665,8.2743136041359e-06
67,1569565.1181587824,626756038.0432265,0.002823967740483883,8.790573606218382e-06
68,1934358.1372346228,710882859.3388271,0.0027638102723628252,9.337371819630636e-06
69,2383935.1166743147,806338011.3578998,0.0027047348502373626,9.916104113069409e-06
70,2938001.25794578,914659367.468473,0.002646747843769407,1.0528438536583913e-05
71,3620841.578831552,1037588651.7797272,0.0025898219799340063,1.1175962441513419e-05
72,4462385.338855184,1177122170.9966114,0.002533887325535957,1.1860205543772476e-05
73,5499517.854867222,1335499135.9805045,0.0024789744639623448,1.2583000172866871e-05
74,6777697.20437512,1515313712.4650397,0.0024250123159686556,1.3345699093994605e-05
75,8352946.677596232,1719458441.0151076,0.0023719738481935886,1.4149934941094917e-05
76,10294310.308481652,1951284618.219181,0.0023198762701544438,1.4997480880530578e-05
77,12686879.111960009,2214573186.6342783,0.002268647886705227,1.588983479743138e-05
78,15635520.669011902,2513639941.154218,0.0022182629490549812,1.6828242447893778e-05
79,19269475.52929986,2853410197.1393075,0.002168737916119621,1.7814209586891613e-05
80,23748021.89415997,3239493031.9026375,0.0021199754310767963,1.8848594267318433e-05
81,29267456.866066232,3678295166.1092744,0.0020720377040849085,1.9933354092683682e-05
82,36069700.256495625,4177131510.539404,0.0020248324179656225,2.106856457251529e-05
83,44452898.06173405,4744335274.342075,0.0019783288783144,2.2254726397108405e-05
84,54784490.36268506,5389451745.832936,0.0019325376052038489,2.349258797572641e-05
85,67517316.42177768,6123399249.524347,0.0018874292230219964,2.4782293457988244e-05
86,83209462.87205794,6958640421.145486,0.0018429657466718968,2.6122997490662892e-05
87,102548724.95529315,7909480543.831777,0.0017991136465650278,2.7513973040037076e-05
88,126382752.9583508,8992276682.635153,0.0017558938132215384,2.8954432325081544e-05
89,155756205.18241352,10225783084.25215,0.0017132427142881005,3.0441897609254037e-05
90,191956535.87971008,11631664179.334425,0.0016711471246026693,3.1973714933445805e-05
91,236570425.06771803,13234644283.83036,0.0016295943938474295,3.354735446631775e-05
92,291553323.5700383,15063109202.247347,0.0015885595281535754,3.515846500736329e-05
93,359315161.4805754,17150053283.03591,0.0015480537656360233,3.680313705252508e-05
94,442825976.6992407,19533155637.641346,0.0015080164662468185,3.8474657027742e-05
95,545746093.2948642,22256194821.673473,0.0014684638624615943,4.016714364378296e-05
96,672586555.4831531,25369363216.060623,0.001429388275793316,4.1873709117972076e-05
97,828906849.1275077,28931154887.123726,0.0013907627904808308,4.358581167715816e-05
98,1021558577.0026631,33009173597.292282,0.0013525798151623283,4.529391864691102e-05
99,1258985768.2394125,37681598316.75498,0.00131484169974302,4.6988033103940614e-05
100,1551594984.6753216,43039834918.92223,0.001277567117104438,4.865831779538106e-05
101,1912211446.072355,49189500243.441956,0.001240723736141616,5.029213948983634e-05
102,2356641166.4157815,56254391890.56501,0.001204334579317462,5.187761519035221e-05
103,2904363740.0313888,64378770540.288994,0.0011683846335377585,5.340239687496104e-05
104,3579386142.7102265,73730819601.63008,0.0011329475672115623,5.4852998954242943e-05
105,4411294970.404633,84508478597.4942,0.0010979744882380533,5.6216197663695685e-05
106,5436553235.684941,96943470452.66931,0.0010635062667393503,5.747941869387815e-05
107,6700098561.245234,111307480866.10779,0.0010295723845048631,5.862982414824763e-05
108,8257312820.141025,127922098378.94589,0.0009961758920962627,5.9655295925527095e-05
109,10176449553.153032,147166323565686,0.0009633601476066561,6.054468341519094e-05
110,12541625558.289055,169487428610.15448,0.0009311426347724484,6.128790007236183e-05
111,15456507775.405325,195415506676.25446,0.0008995762539851638,6.187626482196048e-05
112,19048857064.088257,225578787254.04865,0.0008686845080236959,6.230333257547923e-05
113,23476128031.032524,260727466257.2551,0.0008384987024969343,6.25635370943034e-05
114,28932370350.368305,301750563654.0139,0.0008090778861367334,6.26541882138494e-05
115,35656734065.530426,349711813806.9086,0.000780437953443286,6.257425491999265e-05
116,43943951664.637054,405883274831.1909,0.000752639301425934,6.232545755060179e-05
117,54157256364.39394,471787264212.4437,0.0007257084242931686,6.191058662147134e-05
118,66744302817.87706,549249200262.5757,0.0006996960022619695,6.133578320226467e-05
119,82256788059.39865,640465599705.45,0.0006746380727566546,6.0608326372999115e-05
120,101374632683.05423,748076505165.3464,0.0006505787449684301,5.973830682161261e-05
121,124935782129.04681,875276887491.4956,0.0006275513805855854,5.8737136636409574e-05
122,153972934284.23718,1025909901993.7166,0.0006056039538758248,5.761671134520778e-05
123,189758803187.4667,1204626717355.6199,0.0005847676951204935,5.6391154913829705e-05
124,233861902772.2592,1417067585147926,0.0005650890123709991,5.5075687635890066e-05
125,288215295678.43475,1670083703863.7578,0.0005465963626798207,5.368516179396012e-05
126,355201320430.12463,1971949918370.5247,0.0005293388387422206,5.223522637207832e-05
127,437756010618.0856,2332780349039.1934,0.0005133498569398522,5.074205154410445e-05
128,539497782835.4078,2764853607947534,0.0004986766661149098,4.922100295024553e-05
129,664886033828.2148,3283120303036.8525,0.0004853628062582152,4.768740351484386e-05
130,819416598260.0221,3905864665326726,0.000473455585760681,4.615672518043019e-05
131,1009862634108.9736,4655351052029593,0.0004630155703327079,4.4643201953650945e-05
