,central_pressure,radius,total_mass
108,0.20844295349023306,1.394592566721765,0.0019976771776201367
109,0.2488942580457158,1.522889632122881,0.002601747696040366
110,0.2971957106289506,1.6627732421833241,0.0033872747795268706
111,0.354870743542923,1.8152246560337644,0.004408102079682371
112,0.42373843268530337,1.9812882229801814,0.005733683425804147
113,0.5059708713713119,2.162069449747024,0.00745341045856373
114,0.6041616783587136,2.3587296096456396,0.00968201861653078
115,0.7214078008244704,2.572484818530078,0.012566406118622283
116,0.8614071923664749,2.8045753027787863,0.016293619518167435
117,1.0285754468036885,3.056271663696375,0.021101163480920768
118,1.2281850664154992,3.328836223116874,0.027288671038549237
119,1.466531757153576,3.6234922932719082,0.03523168304005657
120,1.751132995792647,3.9413904254145176,0.04539741463831993
121,2.0909651318465077,4.28354035842799,0.05836114151757761
122,2.4967465024658866,4.650751808389746,0.0748233094297623
123,2.981275489788136,5.04354889793665,0.09562471807384598
124,3.559834183099237,5.46206763873693,0.12175709650337589
125,4.2506703773499055,5.905957704095272,0.15436661713785435
126,5.07557311030416,6.374230695128177,0.19474111015061624
127,6.060559890815057,6.865144044709229,0.24428011077742112
128,7.2366972934718,7.376065586856636,0.3044370260092664
129,8.641080801249059,7.903354365351664,0.3766286028918817
130,10.318004800487202,8.442292451385784,0.4621116402539802
131,12.320359629953757,8.987031776784168,0.5618213345716834
132,14.711299747042789,9.53065790801469,0.6761933291658464
133,17.566235625230238,10.065320978945042,0.8049797221716549
134,20.975212207414565,10.582474100247497,0.947092433781072
135,25.045748931783915,11.07323229293261,1.1005137752797591
136,29.90623090488738,11.528780358335576,1.2622918533113665
137,35.70995817982678,11.940865657957724,1.4286593115889255
138,42.63998085417626,12.302270532326801,1.5952607496511912
139,50.914872487071186,12.60725008372801,1.7574763654348498
140,60.79562392957361,12.85185548988956,1.9107852446144284
141,72.59387500036813,13.034123672526148,2.051119291922553
142,86.68174363460398,13.154120030987931,2.1751542541538984
143,103.50356251814735,13.213836627933409,2.2805015283641374
144,123.58989338178678,13.216959132511008,2.3657863773345316
145,147.57426096752255,13.168452017424446,2.430601900794583
146,176.21313445780467,13.074380714009964,2.4754207944294437
147,210.40978658383926,12.94139057084469,2.5014123159101724
148,251.24278293147458,12.776409041754407,2.5102596190755473
149,300.0,12.586349946198828,2.503976636941976
