e p
1.52183e+06 1.52138e+06
1.87416e+06 1.87365e+06
2.30806e+06 2.30750e+06
2.84242e+06 2.84180e+06
3.50051e+06 3.49982e+06
4.31097e+06 4.31020e+06
5.30909e+06 5.30823e+06
6.53831e+06 6.53735e+06
8.05214e+06 8.05107e+06
9.91649e+06 9.91530e+06
1.22125e+07 1.22112e+07
1.50402e+07 1.50387e+07
1.85225e+07 1.85209e+07
2.28112e+07 2.28094e+07
2.80930e+07 2.80910e+07
3.45977e+07 3.45954e+07
4.26085e+07 4.26060e+07
5.24742e+07 5.24714e+07
6.46243e+07 6.46212e+07
7.95878e+07 7.95843e+07
9.80159e+07 9.80120e+07
1.20711e+08 1.20707e+08
1.48661e+08 1.48656e+08
