e p
1.23682e-10 9.83974e-12
1.38428e-10 1.15935e-11
1.55002e-10 1.36533e-11
1.73639e-10 1.60714e-11
1.94609e-10 1.89083e-11
2.18218e-10 2.22348e-11
2.44812e-10 2.61330e-11
2.74789e-10 3.06983e-11
3.08597e-10 3.60419e-11
3.46750e-10 4.22927e-11
