,Unnamed: 0,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,total_mass,radius
14,30,1282900.210571289,1165.2290593900389,5371428.223703376,3723.687178170117,0.1844953390565229,3.748158010554677,0.0266656354007013,0.0464668315020252,0.0731324669027266,3.748158010554677
15,30,1288707.6723098755,1165.2290593900389,5386478.445503887,3723.687178170117,0.1843764575734997,3.619683474998375,0.0266660378446842,0.0418434026521289,0.0685094404968131,3.619683474998375
16,30,1294216.0831451416,1165.2290593900389,5400734.400063366,3723.687178170117,0.1842642084999075,3.4982416355710835,0.0266663738748219,0.0377685724208979,0.0644349462957198,3.4982416355710835
17,30,1299486.855316162,1165.2290593900389,5414357.904384533,3723.687178170117,0.1841572441761664,3.3827670876707736,0.0266666543190402,0.0341507087495184,0.0608173630685586,3.3827670876707736
18,30,1304570.7206726074,1165.2290593900389,5427482.266693375,3723.687178170117,0.1840545077416211,3.2723905456373954,0.0266668872356565,0.030918240806764,0.0575851280424205,3.2723905456373954
19,30,1309513.0708694458,1165.2290593900389,5440226.302782787,3723.687178170117,0.1839550541370396,3.166340912482894,0.0266670787240753,0.0280130464219661,0.0546801251460414,3.166340912482894
20,31,1314359.2975616455,1165.2290593900389,5452708.222352829,3723.687178170117,0.1838578965099528,3.06384815669137,0.0266672334303915,0.025385644374306,0.0520528778046976,3.06384815669137
21,31,1319144.1120147705,1165.2290593900389,5465018.209163876,3723.687178170117,0.1837623349704761,2.9643832547061404,0.026667354439524,0.0229995739336529,0.0496669283731769,2.9643832547061404
22,31,1323904.8955917358,1165.2290593900389,5477252.8912811335,3723.687178170117,0.183667599889593,2.8673849187662133,0.0266674439035171,0.0208226879033885,0.0474901318069056,2.8673849187662133
23,31,1328679.0296554563,1165.2290593900389,5489508.468828278,3723.687178170117,0.1835729928806979,2.7723314278776323,0.0266675029859898,0.0188282352743579,0.0454957382603478,2.7723314278776323
24,31,1333503.8955688477,1165.2290593900389,5501880.722171979,3723.687178170117,0.1834777280290533,2.678753905784184,0.0266675318819753,0.0169943137228568,0.0436618456048321,2.678753905784184
25,31,1338416.8746948242,1165.2290593900389,5514465.011988732,3723.687178170117,0.183381041387875,2.5862484472324776,0.026667529840929,0.0153033217831454,0.0419708516240745,2.5862484472324776
26,31,1343468.6988830566,1165.2290593900389,5527390.410301692,3723.687178170117,0.183282076307821,2.494248022814357,0.026667495033862,0.0137374890343819,0.0404049840682439,2.494248022814357
27,31,1348707.4298858645,1165.2290593900389,5540778.567781203,3723.687178170117,0.1831798184577809,2.402353129247176,0.0266674243287877,0.0122846281949932,0.038952052523781,2.402353129247176
28,31,1354197.1500396729,1165.2290593900389,5554791.39979173,3723.687178170117,0.1830731512306624,2.3100275198328357,0.026667312897751,0.0109326100359019,0.0375999229336529,2.3100275198328357
29,31,1360012.6220703125,1165.2290593900389,5569617.171064166,3723.687178170117,0.1829606354814752,2.2167538996718728,0.0266671537142493,0.0096719605209117,0.0363391142351611,2.2167538996718728
30,31,1366260.6498718262,1165.2290593900389,5585524.5328544425,3723.687178170117,0.1828402812957925,2.121775025456487,0.0266669361736354,0.0084924766653387,0.0351594128389741,2.121775025456487
31,31,1373074.7383117676,1165.2290593900389,5602848.230119816,3723.687178170117,0.182709668893902,2.024323088130308,0.0266666448118193,0.0073867990528181,0.0340534438646375,2.024323088130308
32,31,1380636.4540100098,1165.2290593900389,5622042.482882278,3723.687178170117,0.1825655480001843,1.923488783941072,0.0266662564742109,0.0063489664908084,0.0330152229650193,1.923488783941072
33,31,1389223.4870910645,1165.2290593900389,5643801.1228341935,3723.687178170117,0.1824029019473394,1.8179122608829552,0.0266657340634581,0.0053722294528996,0.0320379635163578,1.8179122608829552
34,31,1399247.032546997,1165.2290593900389,5669148.705290648,3723.687178170117,0.1822143628454384,1.705919506521414,0.0266650170005775,0.0044521665622219,0.0311171835627994,1.705919506521414
35,31,1164988.7115478516,954.1191056725118,5061090.729785561,3090.357317017535,0.1870558003546546,1.5847459690567611,0.0266518697124269,0.0035815167344665,0.0302333864468935,1.5847459690567611
36,31,1178317.837524414,954.1191056725118,5096648.76880416,3090.357317017535,0.1867551296665267,1.4504912640962584,0.0266553311115236,0.0027603820807284,0.029415713192252,1.4504912640962584
37,31,1196858.9935302734,954.1191056725118,5145902.034805087,3090.357317017535,0.1863426056798318,1.295724831995425,0.0266595781582348,0.0019829980633364,0.0286425762215713,1.295724831995425
38,32,1226806.805419922,954.1191056725118,5224955.198247257,3090.357317017535,0.1856901649276091,1.1044977510298954,0.0266651157194247,0.0012450658858117,0.0279101816052365,1.1044977510298954
39,33,1295759.3994140625,954.1191056725118,5404725.210110482,3090.357317017535,0.1842486617835837,0.8285632857923199,0.0266722344171066,0.0005443141645134,0.0272165485816201,0.8285632857923199
