,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,total_mass,radius,DM_fraction
27,26937728542.82752,151.17708626015678,287005241224.3865,551.9454652951881,0.0008190329220968289,0.3397095653456482,6.264213488347456e-05,2.885768189687797e-05,9.149981678035254e-05,0.3397095653456482,0.684615384615384
28,26941474277.377056,151.17708626015678,287033187008.3148,551.9454652951881,0.0008190134235712591,0.3267562183022642,6.264217719590781e-05,2.5681062588473392e-05,8.83232397843812e-05,0.3267562183022642,0.709230769230769
29,26945429164.61718,151.17708626015678,287062692135.7226,551.9454652951881,0.000818992839611479,0.3136823749628644,6.264222178260866e-05,2.2720379008029272e-05,8.536260079063793e-05,0.3136823749628644,0.733846153846154
30,26949664074.467834,151.17708626015678,287094285119.12836,551.9454652951881,0.0008189708019961044,0.300375241511368,6.264226942565606e-05,1.994996162332571e-05,8.259223104898177e-05,0.300375241511368,0.758461538461538
31,26954265433.660675,151.17708626015678,287128610420.16437,551.9454652951881,0.0008189468618764813,0.2867242373910045,6.264232107343135e-05,1.7351942902255874e-05,7.999426397568722e-05,0.2867242373910045,0.783076923076923
32,26959343868.412193,151.17708626015678,287166492874.22656,551.9454652951881,0.0008189204449577186,0.2726148669042096,6.264237793370289e-05,1.4914534470426121e-05,7.7556912404129e-05,0.2726148669042096,0.807692307692308
33,26965072232.1857,151.17708626015678,287209221261.92926,551.9454652951881,0.0008188906539796371,0.25786074522031205,6.264244189159902e-05,1.262188682997235e-05,7.526432872157137e-05,0.25786074522031205,0.832307692307692
34,26971716719.314648,151.17708626015678,287258780182.80646,551.9454652951881,0.0008188561075371481,0.2422018646484322,6.264251584022562e-05,1.0459484590475131e-05,7.310200043070076e-05,0.2422018646484322,0.856923076923077
35,26979702549.31874,151.17708626015678,287318339573.68866,551.9454652951881,0.0008188145997898148,0.22528272831255827,6.264260437923751e-05,8.417310347677334e-06,7.105991472691484e-05,0.22528272831255827,0.881538461538461
36,26989783363.29794,151.17708626015678,287393517184.4485,551.9454652951881,0.0008187622227673209,0.20655589775847671,6.264271561918102e-05,6.488110340140648e-06,6.913082595932167e-05,0.20655589775847671,0.906153846153846
37,27003556327.253056,151.17708626015678,287496217350.4829,551.9454652951881,0.0008186906980250865,0.18497431225485256,6.264286665322075e-05,4.659748116192543e-06,6.730261476941329e-05,0.18497431225485256,0.930769230769231
38,27025128439.471912,151.17708626015678,287657046059.50195,551.9454652951881,0.0008185787539231932,0.15836941118294268,6.264310101577076e-05,2.9246884008260333e-06,6.556778941659679e-05,0.15836941118294268,0.955384615384615
39,27071563793.850708,151.17708626015678,288003128610.1232,551.9454652951881,0.0008183381284672573,0.12019558942223749,6.264359642412365e-05,1.2788400871735134e-06,6.392243651129716e-05,0.12019558942223749,0.98
